Date,Environment,Economic growth,Equal priority (vol.),No opinion
%,%,%,%,%
2022 Mar 1-18,53,42,4,1
2021 Mar 1-15,50,42,5,3
2020 Mar 2-13,60,33,5,2
2019 Mar 1-10,65,30,3,2
2018 Mar 1-8,57,35,4,4
2017 Mar 1-5,56,35,5,4
2016 Mar 2-6,56,37,4,3
2015 Mar 5-8,46,42,6,5
2014 Mar 6-9,50,41,4,5
2013 Mar 7-10,43,48,4,5
2012 Mar 8-11,41,49,6,4
2011 Mar 3-6,36,54,6,4
2010 May 24-25,50,43,4,3
2010 Mar 4-7,38,53,4,5
2009 Mar 5-8,42,51,5,3
2008 Mar 6-9,49,42,5,3
2007 Mar 11-14,55,37,4,4
2006 Mar 13-16,52,37,6,4
2005 Mar 7-10,53,36,7,4
2004 Mar 8-11,49,44,4,3
2003 Mar 3-5,47,42,7,4
2002 Mar 4-7,54,36,5,5
2001 Mar 5-7,57,33,6,4
2000 Apr 3-9,67,28,2,3
2000 Jan 13-16,70,23,.,7
1999 Apr 13-14,67,28,.,5
1999 Mar 12-14,65,30,.,5
1998 Apr 17-19,68,24,.,8
1997 Jul 25-27,66,27,.,7
1995 Apr 17-19,62,32,.,6
1992 Jan 5-Mar 31,58,26,8,8
1991 Apr 11-14,71,20,.,9
1990 Apr 5-8,71,19,.,10
1984 Sep 28-Oct 1,61,28,.,11
